,Hydro_PC1,Hydro_PC2
TonB,-4.219716246077271,2.449718778099555
TonB0,0.356791301724583,-1.1617688689311934
TonB1,-2.062188804125704,-1.1723441626850444
TonB2,7.145902427637279,0.6231773534478657
TonB3,-1.5269153756421647,-0.9471778233542826
TonB4,-3.640668605719685,-2.4535465822597025
TonB5,-2.229110503276354,1.6057758929931336
TonB6,-2.5377353855736096,1.249173340261576
TonB7,0.7133034343656752,-1.9071485938692148
TonB8,-0.10131050357205354,-2.207572276704598
TonB9,5.083824479964516,-0.7713695630627978
TonB10,-1.1931484252997904,-1.3078239700804253
TonB11,-2.9146364495385444,5.350775064707712
TonB12,2.905892409055855,3.099850189536971
