Feature,Spearman_rho,p_value
CTDT_secondarystruct.Tr1221,-0.7290240734419665,0.004694828469093423
CTDT_normwaalsvolume.Tr2332,-0.7142857142857143,0.006088305245824148
CTDT_secondarystruct.Tr2332,0.6822564913721045,0.010194832388344994
CTDC_normwaalsvolume.G1,0.5164835164835164,0.07074904067496371
CTDC_secondarystruct.G3,0.5164835164835164,0.07074904067496371
CTDT_polarity.Tr1331,-0.5054945054945055,0.07803332731018388
CTDT_hydrophobicity_PRAM900101.Tr1331,-0.4725274725274725,0.10298105029992852
CTDT_hydrophobicity_PONP930101.Tr1221,-0.4702740396951062,0.10486246280278165
CTDT_hydrophobicity_CASG920101.Tr1221,-0.4450549450549451,0.12752383613843676
CTDC_secondarystruct.G1,-0.4380181909972074,0.13438425599659928
CTDC_polarizability.G1,0.43191237558637263,0.1405311018465305
CTDC_hydrophobicity_ARGP820101.G3,0.429161341346969,0.14336000092471568
CTDC_polarity.G2,0.39889996471352884,0.1769531402161251
CTDC_normwaalsvolume.G3,-0.39614893047412525,0.18023500576649443
CTDC_polarizability.G3,-0.39614893047412525,0.18023500576649443
CTDT_normwaalsvolume.Tr1221,0.39560439560439564,0.1808891631049407
CTDT_hydrophobicity_ARGP820101.Tr1221,-0.38461538461538464,0.19441291997748622
CTDC_hydrophobicity_ARGP820101.G2,-0.374140656558896,0.2078784368558637
CTDC_hydrophobicity_ZIMJ680101.G3,0.3686385880800887,0.2151771625119695
CTDC_solventaccess.G3,0.3626373626373627,0.22331572029248162
CTDT_hydrophobicity_ZIMJ680101.Tr2332,0.3603854853618778,0.22641748750441454
CTDC_hydrophobicity_FASG890101.G2,0.3548834168830705,0.23410611092438008
CTDC_hydrophobicity_CASG920101.G1,0.35213238264366686,0.2380089766666944
CTDC_hydrophobicity_FASG890101.G3,-0.34615384615384615,0.24662526251007164
CTDT_polarizability.Tr1331,-0.32967032967032966,0.27133505450523554
CTDC_hydrophobicity_CASG920101.G2,-0.32044687966370133,0.28577034206571195
CTDT_hydrophobicity_PRAM900101.Tr2332,0.31361790329201583,0.29673809964823017
CTDT_hydrophobicity_ZIMJ680101.Tr1221,-0.30303145289114974,0.3142085754056801
CTDC_hydrophobicity_ZIMJ680101.G2,-0.2916096293767866,0.3336903262748958
CTDT_hydrophobicity_ARGP820101.Tr1331,0.2912087912087912,0.3343858561975295
CTDT_hydrophobicity_ZIMJ680101.Tr1331,0.2857142857142857,0.34400021825867
CTDT_polarizability.Tr1221,0.2857142857142857,0.34400021825867
CTDT_polarity.Tr2332,0.26373626373626374,0.3839365166506743
CTDT_charge.Tr1331,0.253444487872598,0.40343507314225435
CTDC_polarity.G3,-0.253444487872598,0.40343507314225435
CTDT_hydrophobicity_ENGD860101.Tr1331,-0.2424251623129198,0.4248608396164144
CTDT_charge.Tr1221,-0.23204774044612855,0.4455455789569255
CTDT_hydrophobicity_ENGD860101.Tr2332,0.2283358418705027,0.4530613463425497
CTDC_normwaalsvolume.G2,-0.22527472527472525,0.4593051427250058
CTDT_hydrophobicity_FASG890101.Tr1331,-0.2145806706734845,0.48143708867618085
CTDT_hydrophobicity_PONP930101.Tr1331,-0.20442300944063702,0.5029077104533117
CTDT_charge.Tr2332,-0.20138103442289484,0.5094205880071834
CTDT_polarity.Tr1221,0.19559302868428755,0.5219160396930226
CTDT_hydrophobicity_CASG920101.Tr1331,0.19532343099765895,0.5225013271325196
CTDC_hydrophobicity_ARGP820101.G1,0.19230769230769232,0.5290679872349875
CTDC_polarity.G1,-0.17981066223636413,0.5566555269518729
CTDC_hydrophobicity_PONP930101.G3,-0.17981066223636413,0.5566555269518729
CTDT_hydrophobicity_PRAM900101.Tr1221,0.1758241758241758,0.5655798619595345
CTDT_solventaccess.Tr1221,-0.1758241758241758,0.5655798619595345
CTDT_solventaccess.Tr1331,0.17032967032967034,0.5779754288392673
CTDT_polarizability.Tr2332,-0.16781308860362248,0.5836890454315045
CTDT_hydrophobicity_ARGP820101.Tr2332,-0.13736263736263735,0.6545168402947126
CTDC_hydrophobicity_CASG920101.G3,0.1272506225057346,0.6786763927050361
CTDT_secondarystruct.Tr1331,0.12637362637362637,0.680785475070949
CTDC_hydrophobicity_PRAM900101.G3,-0.1212125811564599,0.6932401360648601
CTDC_hydrophobicity_PONP930101.G1,0.1100413695761459,0.7204393525218341
CTDC_hydrophobicity_PRAM900101.G1,-0.10468359281694264,0.7335946916422292
CTDC_solventaccess.G2,-0.10468359281694264,0.7335946916422292
CTDT_normwaalsvolume.Tr1331,0.1043956043956044,0.7343037452877026
CTDC_charge.G2,-0.0934065934065934,0.7615000227827016
CTDT_hydrophobicity_CASG920101.Tr2332,-0.09090943586734493,0.7677166575397278
CTDT_solventaccess.Tr2332,-0.08839913921757278,0.7739789231440317
CTDC_secondarystruct.G2,0.07427792446389848,0.8094314943075036
CTDC_charge.G3,0.07152689022449482,0.8163794952824595
CTDC_hydrophobicity_PONP930101.G2,-0.07142857142857142,0.816628040676086
CTDC_charge.G1,0.06344881906474768,0.836851263546061
CTDT_hydrophobicity_PONP930101.Tr2332,-0.06043956043956044,0.8445023706449684
CTDC_polarizability.G2,0.06043956043956044,0.8445023706449684
CTDT_hydrophobicity_FASG890101.Tr1221,0.054945054945054944,0.8585042942308735
CTDC_hydrophobicity_PRAM900101.G2,0.049518616309265656,0.8723702787624736
CTDT_hydrophobicity_FASG890101.Tr2332,-0.027472527472527472,0.929011729160351
CTDT_hydrophobicity_ENGD860101.Tr1221,-0.024759308154632828,0.9360090189501213
CTDC_hydrophobicity_ENGD860101.G1,0.02200827391522918,0.9431081531400504
CTDC_solventaccess.G1,0.019364225163916133,0.9499348620668562
CTDC_hydrophobicity_FASG890101.G1,-0.01925723967582553,0.9502111586390531
CTDC_hydrophobicity_ZIMJ680101.G1,0.016597907283356687,0.9570806217537797
CTDC_hydrophobicity_ENGD860101.G3,-0.005509662779839086,0.9857477056831194
CTDC_hydrophobicity_ENGD860101.G2,-0.0027510342394036474,0.9928834319869779
